label,text
FAKE,"Scientists say the moon is made of cheese in new shocking discovery."
REAL,"NASA successfully lands new rover on Mars after 7-month journey."
FAKE,"Experts recommend brushing your teeth with soda to improve enamel."
REAL,"Local library offers free coding classes for all age groups."
FAKE,"Aliens spotted shopping at local grocery store, witnesses claim."
REAL,"City council approves budget for new public park renovations."
FAKE,"Study shows people can photosynthesize like plants with enough sunlight."
REAL,"Teachers receive national recognition for excellence in remote education."
FAKE,"Government to replace all cars with hoverboards by next year."
REAL,"University announces tuition freeze for the next academic year."
